song,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,61,24,62,60,0,24,31
Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,14169,0,60,23,57,0,2,27,3
Space Song,Beach House,1,2015,1,1,17852,4,51,62,79,22,13,14,3
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,57,47,84,1,1,52,4
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,56,38,97,4,0,35,4
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,85,53,68,40,0,9,4
Gatita,Bellakath,1,2022,10,3,1054,0,90,76,81,15,24,33,6
In The Stars,Benson Boone,1,2022,4,29,2224,8,36,30,54,34,0,14,5
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,81,63,68,11,0,11,4
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,50,85,52,11,0,28,6
Still Life,BIGBANG,1,2022,4,5,181,0,68,24,58,44,0,6,3
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,44,14,9,96,0,10,3
TV,Billie Eilish,1,2022,7,21,3009,2,41,9,25,84,1,14,4
Happier Than Ever,Billie Eilish,1,2021,7,30,8476,0,31,31,24,76,0,14,4
Bored,Billie Eilish,1,2017,3,30,4204,0,60,11,33,90,0,8,5
Happier Than Ever - Edit,Billie Eilish,1,2021,7,28,1959,0,45,12,57,7,0,23,3
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,35,12,30,93,0,10,3
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,0,23,19,25,91,0,40,3
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25,928,0,61,32,90,25,0,10,9
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,85,81,67,26,0,12,5
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,62,55,78,1,3,23,4
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,66,76,82,47,0,10,32
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,0,82,42,75,6,0,63,6
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,78,83,75,41,0,27,8
Shut Down,BLACKPINK,1,2022,9,16,1524,17,82,67,69,0,0,18,4
Pink Venom,BLACKPINK,1,2022,8,19,1963,16,80,71,69,2,0,27,10
Typa Girl,BLACKPINK,1,2022,9,16,452,10,92,53,62,7,0,63,10
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,78,90,84,31,0,7,4
Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,0,74,78,37,84,0,6,3
Toxic,BoyWithUke,1,2021,9,10,1795,0,59,69,61,84,0,46,36
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,0,70,85,41,71,0,45,5
My Only Wish (This Year),Britney Spears,1,2000,11,7,6952,0,67,69,72,17,0,19,3
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,83,58,83,21,0,10,5
