song,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
TQM,Fuerza Regida,1,2023,5,19,584,28,79,96,85,27,0,11,6
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,70,76,79,26,0,11,7
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,54,75,60,30,0,7,5
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,66,85,60,40,0,14,13
Worst Day,Future,1,2022,2,11,910,0,65,60,60,11,0,10,40
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,88,28,66,6,0,13,31
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,72,45,59,14,0,20,21
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,77,28,55,18,0,22,15
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,68,17,71,15,0,11,5
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,65,87,74,22,0,42,4
Mary On A Cross,Ghost,1,2019,9,13,2668,2,47,56,90,0,0,10,4
we fell in love in october,girl in red,1,2018,11,21,6858,0,57,24,37,11,18,16,3
HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,61,59,46,56,0,13,5
Heat Waves,Glass Animals,1,2020,6,28,22543,63,76,53,53,44,0,9,9
Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,81,83,75,14,0,29,34
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,64,30,77,46,0,38,6
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1,42798,0,86,75,52,54,0,10,4
No Se Va,Grupo Frontera,1,2022,4,28,924,18,59,69,53,12,0,23,3
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,57,80,59,8,0,6,5
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,79,64,59,28,0,11,14
fukumean,Gunna,1,2023,5,15,1096,83,85,22,62,12,0,28,9
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,90,74,54,16,0,13,28
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,45,67,90,9,11,10,5
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,1473,4,64,61,91,15,0,72,4
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,2577,0,63,93,88,1,0,12,4
With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2,53,14,43,64,0,13,3
So Good,Halsey,1,2022,6,9,1057,0,63,29,62,4,0,18,4
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,0,65,80,86,9,0,19,10
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,43,14,74,1,0,19,8
As It Was,Harry Styles,1,2022,3,31,23575,130,52,66,73,34,0,31,6
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,55,56,82,12,0,34,5
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,71,90,73,30,0,11,5
Adore You,Harry Styles,1,2019,12,6,13454,1,68,57,77,2,0,10,5
Falling,Harry Styles,1,2019,12,13,7556,0,57,6,27,84,0,9,3
Golden,Harry Styles,1,2019,12,13,8429,1,45,25,84,21,0,13,6
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1,72,36,72,26,6,11,4
Matilda,Harry Styles,1,2022,5,20,3218,3,51,39,29,90,0,10,4
Daylight,Harry Styles,1,2022,5,20,2775,0,69,63,45,48,0,18,4
Little Freak,Harry Styles,1,2022,5,20,2302,0,56,40,54,72,0,10,4
Satellite,Harry Styles,1,2022,5,20,3291,5,58,30,46,14,0,9,3
Love Of My Life,Harry Styles,1,2022,5,20,1933,0,56,20,54,67,0,6,5
Grapejuice,Harry Styles,1,2022,5,20,1986,0,65,88,72,36,14,20,3
Keep Driving,Harry Styles,1,2022,5,20,2094,1,72,90,48,32,0,18,23
Cinema,Harry Styles,1,2022,5,20,2171,0,83,90,64,35,5,9,4
Daydreaming,Harry Styles,1,2022,5,20,1900,1,71,90,81,31,2,13,3
Boyfriends,Harry Styles,1,2022,5,20,1517,0,42,32,20,94,0,11,4
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,48,37,41,32,0,10,10
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,65,36,47,31,0,12,10
Take Me To Church,Hozier,1,2013,9,13,23804,31,57,41,66,63,0,12,5
Bones,Imagine Dragons,1,2021,3,11,4198,44,77,65,72,2,0,7,5
Believer,Imagine Dragons,1,2017,1,31,18986,23,77,74,78,4,0,23,11
Demons,Imagine Dragons,1,2012,1,1,26694,13,33,38,71,20,0,28,5
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,73,54,74,23,0,41,23
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,7,72,59,76,24,0,42,28
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,84,49,72,8,0,15,8
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,6,74,71,89,24,61,15,5
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,59,15,64,43,90,12,10
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6,65,72,95,31,0,92,5
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,63,75,92,31,0,91,5
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,73,44,57,39,0,32,6
I AM,IVE,1,2023,4,10,366,15,68,38,88,1,0,8,5
ELEVEN,IVE,1,2021,12,1,521,1,83,59,73,6,0,5,11
LOVE DIVE,IVE,1,2022,4,5,753,8,70,54,71,0,0,33,4
After LIKE,IVE,1,2022,8,22,767,12,68,80,92,10,0,9,12
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,74,79,66,11,0,8,16
No Role Modelz,J. Cole,1,2014,12,9,21164,36,70,47,52,30,0,6,33
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,83,69,44,15,0,10,33
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,71,41,31,79,0,10,5
Nail Tech,Jack Harlow,1,2022,2,18,2939,0,65,11,58,0,0,12,9
First Class,Jack Harlow,1,2022,4,8,8737,0,91,32,56,3,0,11,10
Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,83,41,65,0,10,11,8
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,13315,0,74,89,70,2,0,5,6
Makeba,Jain,1,2015,6,22,6060,53,82,40,66,39,51,25,7
Car's Outside,James Arthur,1,2019,10,18,794,10,34,24,56,4,0,11,3
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,40,45,56,69,0,9,5
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,59,26,60,46,1,25,13
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28,84,70,69,1,0,5,5
Acapulco,Jason Derulo,1,2021,9,1,3098,0,77,51,79,5,0,16,5
Infinity,Jaymes Young,1,2017,6,23,4375,0,67,50,67,15,0,30,4
ZOOM,Jessi,1,2022,4,13,608,0,87,46,60,1,0,13,16
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,65,37,58,2,0,4,31
MORE,j-hope,1,2022,7,1,565,0,78,31,72,1,0,11,4
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,68,81,82,53,0,9,13
Like Crazy,Jimin,1,2023,3,24,596,68,63,36,73,0,0,36,4
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,59,56,82,12,0,12,6
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,62,32,76,0,0,39,4
The Astronaut,Jin,1,2022,10,28,481,9,54,22,76,0,0,14,3
FLOWER,JISOO,1,2023,3,31,839,18,84,64,39,3,0,11,4
TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,74,39,65,5,1,11,35
All of Me,John Legend,1,2013,8,1,27221,0,42,33,26,92,0,13,3
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,33,51,59,76,0,44,6
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,10829,0,33,39,61,32,0,77,3
Glimpse of Us,Joji,1,2022,6,10,6330,6,44,27,32,89,0,14,5
Die For You,Joji,1,2022,11,4,1703,0,47,15,52,38,13,29,5
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,52,28,48,54,1,19,347aidan
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,6,29,12,33,68,0,12,5
Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,44,22,48,38,0,33,24
Cigarettes,Juice WRLD,1,2021,12,10,975,0,60,47,62,3,0,38,4
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,64,14,70,9,0,9,8
Still With You,Jung Kook,1,2020,6,5,31,39,53,34,47,9,0,83,4
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,51,50,76,30,0,10,7
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,56,84,65,23,0,10,6
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,75,79,63,33,0,15,4
Ghost,Justin Bieber,1,2021,3,19,5866,24,61,41,74,21,0,40,6
Mistletoe,Justin Bieber,1,2011,1,1,9577,0,67,88,54,51,0,9,4
Love Yourself,Justin Bieber,1,2015,11,9,22730,5,61,53,38,84,0,28,44
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,0,63,49,68,38,0,42,18
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,82,82,66,13,0,11,6
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,59,48,76,4,0,10,5
golden hour,JVKE,1,2022,7,15,4511,36,51,14,59,65,18,25,3
this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,42,33,44,62,0,8,6
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,58,26,38,91,0,10,4
Moonlight,Kali Uchis,1,2023,2,24,2649,42,64,88,72,51,0,17,5
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,86,31,53,43,0,11,6
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,82,51,39,2,0,9,49
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,83,32,82,14,0,12,4
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,67,11,76,8,47,30,7
Praise God,Kanye West,1,2021,8,29,4651,0,80,21,55,1,0,26,17
Heartless,Kanye West,1,2008,1,1,17504,34,79,66,65,5,0,25,14
Bound 2,Kanye West,1,2013,1,1,19806,7,37,28,66,14,0,9,5
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,47,50,80,10,0,32,38
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,88,52,69,0,0,8,23
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,71,39,86,2,0,51,25
AMARGURA,Karol G,1,2023,2,24,1133,39,92,55,70,18,0,15,7
S91,Karol G,1,2023,7,14,525,41,86,42,72,59,0,9,19
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,52,57,48,86,0,15,39
PROVENZA,Karol G,1,2022,4,21,6587,34,87,53,52,66,1,11,5
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,84,90,70,9,0,14,8
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,95,43,69,47,0,9,31
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,79,58,78,34,0,11,25
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,72,61,63,67,0,9,28
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,0,63,20,55,72,0,6,6
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,45,33,59,6,0,8,3
Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4,49,14,40,82,0,11,3
Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,0,51,69,81,0,0,21,5
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,91,42,60,0,0,9,12
N95,Kendrick Lamar,1,2022,5,13,5542,0,81,39,66,38,0,12,14
United In Grief,Kendrick Lamar,1,2022,5,13,2575,0,52,32,83,24,0,17,43
Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0,85,41,43,39,0,12,21
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,78,51,43,69,0,14,9
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,56,56,47,76,0,8,36
Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,44,74,42,88,0,9,9
Crown,Kendrick Lamar,1,2022,5,13,1493,0,37,14,24,80,0,11,4
Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,43,60,38,76,1,48,38
Mirror,Kendrick Lamar,1,2022,5,13,1929,0,66,29,65,23,0,8,7
Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,66,83,43,84,0,19,19
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,76,79,81,18,0,6,34
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,71,14,61,1,0,23,33
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,49,50,37,87,0,11,35
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,78,40,74,36,0,17,27
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,57,71,82,19,0,15,29
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,74,37,53,7,0,21,10
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,92,78,57,46,0,14,9
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,61,66,71,53,0,32,46
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,55,50,78,19,0,11,35
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,73,26,54,30,0,34,32
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,65,52,69,31,0,8,36
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,81,64,79,5,0,31,3
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,58,29,94,0,0,9,11
Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16,1550,0,77,68,70,6,0,17,20
San Lucas,Kevin Kaarl,1,2019,11,7,407,1,58,27,36,86,0,9,3
Maan Meri Jaan,King,1,2022,10,12,288,6,70,40,51,35,0,10,4
Super Gremlin,Kodak Black,1,2021,10,30,2551,0,83,11,41,0,0,36,14
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,53,24,67,11,0,10,28
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,71,57,97,1,0,13,11
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,95,83,57,54,0,10,25
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,44,36,41,50,0,38,5
Formula,Labrinth,1,2019,10,4,3444,7,57,23,66,4,6,15,4
Mount Everest,Labrinth,1,2019,6,21,5443,0,46,43,43,23,8,8,22
Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,31,31,63,47,27,21,12
When I R.I.P.,Labrinth,1,2019,10,4,2578,0,39,45,55,73,0,9,21
Forever,Labrinth,1,2019,10,4,3618,0,56,19,46,92,72,11,3
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4,1888,0,28,26,20,19,0,30,3
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,5342,0,37,17,67,2,0,34,9
Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,59,49,65,2,0,13,3
Hold My Hand,Lady Gaga,1,2022,5,3,2528,0,51,21,63,5,0,41,3
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,57,30,40,38,0,26,3
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,49,17,35,71,9,11,3
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,56,24,66,7,0,12,3
Radio,Lana Del Rey,1,2011,1,1,9389,46,42,20,86,21,0,9,9
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,66,32,40,81,0,11,3
Ojos Marrones,Lasso,1,2022,2,6,795,11,81,72,65,4,0,14,4
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,80,89,83,31,0,8,4
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,70,31,44,84,0,9,39
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,0,60,45,47,62,0,31,5
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,88,82,80,8,0,11,8
FEARLESS,LE SSERAFIM,1,2022,5,2,629,0,86,43,62,5,0,13,14
10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,54,45,79,1,0,17,5
Zona De Perigo,Leo Santana,1,2022,12,8,531,4,81,97,77,75,0,35,3
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,50,45,41,75,0,11,3
Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,45,19,60,63,0,9,6
Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,67,72,74,30,0,36,4
Afraid To Feel,LF System,1,2022,5,2,5898,5,58,68,91,2,0,27,11
People,Libianca,1,2022,12,2,3506,56,59,71,42,55,0,10,7
Right On,Lil Baby,1,2022,4,8,1116,0,70,22,61,2,0,10,34
California Breeze,Lil Baby,1,2022,10,14,991,0,74,22,67,0,0,11,46
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,76,61,58,6,0,16,3
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0,64,31,72,15,0,9,5
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,61,76,51,30,0,38,15
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,0,74,55,85,1,0,5,22
In My Head,Lil Tjay,1,2022,4,1,1185,0,68,41,55,16,0,10,12
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,49,4,55,7,0,6,3
Poland,Lil Yachty,1,2022,6,23,1584,0,70,26,56,14,83,11,5
Numb,Linkin Park,1,2003,3,24,20111,5,50,24,86,0,0,64,4
In The End,Linkin Park,1,2000,10,24,25065,6,55,40,90,1,0,32,6
MONEY,Lisa,1,2021,9,10,2566,13,83,40,55,16,0,14,23
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,70,61,44,40,0,37,4
About Damn Time,Lizzo,1,2022,7,15,2332,2,84,72,74,10,0,34,7
About Damn Time,Lizzo,1,2022,4,14,9021,0,84,72,74,10,0,34,7
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,72,92,77,9,0,8,11
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,51,27,33,48,0,22,3
The Night We Met,Lord Huron,1,2015,2,2,18515,35,45,10,37,97,25,64,4
Tattoo,Loreen,1,2023,2,25,2988,59,55,30,78,24,0,12,8
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,44,67,26,64,52,0,17,10
Caile,Luar La L,1,2020,12,18,1494,2,70,46,76,30,0,9,45
Beautiful Girl,Luciano,1,2022,4,22,710,4,84,61,42,31,0,9,9
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,62,25,44,51,33,14,3
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,70,97,59,55,0,27,12
Fast Car,Luke Combs,1,2023,3,24,1446,12,71,67,60,19,0,12,3
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,31,4,86,1,0,28,17
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,70,92,59,3,0,10,3
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,90,64,14,67,35,11,10
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,90,96,73,62,0,9,4
Sial,Mahalini,1,2023,1,23,134,4,56,20,43,89,0,12,4
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,52,44,60,40,0,26,3
212,"Mainstreet, Chefin",2,2022,1,15,352,0,79,86,52,66,0,9,7
Sobrio,Maluma,1,2021,7,8,3506,10,76,63,77,14,0,15,22
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,62,56,66,18,0,12,5
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,82,53,67,34,0,9,8
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,84,85,68,58,0,22,4
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,0,34,33,63,16,0,7,4
Memories,Maroon 5,1,2019,9,20,9974,2,77,60,32,84,0,8,5
Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,14143,4,74,51,74,2,0,29,4
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,72,67,72,0,0,13,4
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,65,24,53,6,0,51,4
Numb,"Marshmello, Khalid",2,2022,6,10,3879,2,91,63,77,12,1,10,5
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,78,70,68,3,1,11,4
Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,78,47,70,18,0,15,9
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,93,68,65,42,0,12,25
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4,59,62,60,12,0,5,44
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,71,78,40,46,0,7,45
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,84,88,53,35,0,8,7
VOID,Melanie Martinez,1,2023,3,29,596,0,72,42,66,18,4,19,4
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,77,74,74,47,0,34,8
Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,0,54,59,83,0,44,20,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,78,5,30,21,0,13,5
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,84,96,79,43,0,18,11
Sure Thing,Miguel,1,2010,5,25,13801,19,68,51,60,3,0,19,10
Flowers,Miley Cyrus,1,2023,1,12,12211,115,71,65,68,6,0,3,7
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,67,49,64,10,0,10,3
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,77,53,78,19,0,29,4
Last Night,Morgan Wallen,1,2023,1,31,2420,19,52,52,68,46,0,15,4
You Proof,Morgan Wallen,1,2022,5,13,2128,9,73,64,85,25,0,61,3
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,61,92,91,0,0,26,3
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,56,72,85,0,0,15,3
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,68,83,81,9,0,8,4
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,53,51,70,49,0,14,3
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,53,61,81,5,0,36,4
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,50,49,76,12,0,12,3
After Dark,Mr.Kitty,1,2014,8,8,1776,14,58,4,60,7,41,8,3
Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,51,66,53,60,0,11,18
Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,73,88,67,20,0,32,5
LALA,Myke Towers,1,2023,3,23,1474,48,71,61,74,7,0,10,4
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,11500,0,36,22,15,84,0,11,4
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,69,96,36,81,0,8,4
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,81,90,77,1,0,9,5
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,77,79,73,15,0,27,10
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,78,89,83,10,0,12,5
POP!,Nayeon,1,2022,6,24,571,0,80,36,86,4,0,3,5
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,0,72,67,68,0,0,14,4
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,89,61,66,17,0,36,16
die first,Nessa Barrett,1,2022,6,24,767,0,44,44,67,7,0,12,13
Those Eyes,New West,1,2019,5,10,1507,14,60,24,35,73,0,31,3
Super Shy,NewJeans,1,2023,7,7,422,55,78,52,82,18,0,15,7
New Jeans,NewJeans,1,2023,7,7,77,35,81,53,72,51,0,12,5
OMG,NewJeans,1,2023,1,2,1783,27,80,74,77,36,0,11,4
Ditto,NewJeans,1,2022,12,19,1154,22,81,18,64,3,0,10,11
Hype Boy,NewJeans,1,2022,8,1,892,17,59,78,94,27,0,29,23
Attention,NewJeans,1,2022,8,1,799,12,81,70,65,24,0,8,4
HAPPY,NF,1,2023,3,25,660,0,73,22,86,31,0,12,4
Heaven,Niall Horan,1,2023,2,17,1553,2,57,68,76,7,0,33,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,70,29,73,12,0,11,26
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0,95,91,89,6,0,31,24
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,77,75,58,52,0,23,25
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,90,74,68,14,0,10,19
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,89,75,70,6,0,13,5
